prompts,feelings
i feel terrific in every one of them,"Resolution, Tension, Balance"
i aspire to capture the manner in which i feel this tension is resolved and why austere and introspective training still has a place alongside study of the method at euskc,"Fun, Useful, Trendy"
i had a ton of fun at the thrift store and i feel like i got some really useful pieces and i can get in on current trends for cheap,"Anxious, Unsure, Confused"
i find myself feeling anxious and unsure,"Not Jolly, Discontent, Displeased"
i honestly wish christmas was celebrated in the summer because i feel like i tend not be as jolly as i wish i could be,"Strange, Unsettled, Unsure"
ive blogged and i feel strange about it,"Angry, Frustration, Resentment"
i guess it comes from believing that when i was younger anger was not a feeling that was acceptable so i tried not to have it,"Pleased, Well, Comfort"
i am pleased to report that i in many ways i am feeling well,"Indifferent, Neglected, Unimportant"
i have now and feeling like people think it means im just ok and dont need to talk about jeremy anymore,"Left Out, Hated, Isolated"
im also still feeling whiney as hell so its possible i could rant a bit today,"Greedy, Self-indulgent, Indulgence"
i still do feel left out i do feel like the most hated kid in the asian crew,"Scared, Fear, Terror"
i feel like a greedy pig catching up to do lt bc afterward yay im gna get my delicious chocolates and in exchange zjs gna get bai tu tang from me,"Overwhelmed, Burdened, Stress"
i know what it feels like to be scared into something,"Slytherin, Superior, Confidence"
i started to feel so overwhelmed,"Ecstatic, Loved, Affection"
i feel slytherin is my house slytherin is for those who are smart enough to know how to get the job done and at any cost,"Unhappy, Upset, Angry"
i didnt react with the way that i really feel im ecstatic for your marriage to tonks,"Defeated, Despair, Disillusionment"
im not feeling pressured to perform athletic moves in order to stay on the field,"Lively, Alert, Invigorated"
i feel unfortunate that i dont have a lot of time to spend with my family,"Regret, Sorrow, Remorse"
i can imagine most young people might feel resentful about the attention their sibling was getting while also feeling guilt at the same time,"Threatened, Vulnerable, Fear"
i don t really know the oldest one very well and his mothering mother seems to feel that he is not sweet,"Better, Improved, Progress"
i feel as though were giving too many details about unimportant things like chriss mundane life and left out on other details like more character depth especially with secondary characters,"Uncertain, Change, Adaptation"
i know she shes the only one who provides income to my family right now but it feels like shes putting it up in our face that shes supporting us,"Self-hate, Compassion, Empathy"
i feel like i m superior to the human race rel bookmark permalink,"Assured, Peace, Confidence"
i feel more assured having made my peace with atheism,"Loved, Affection, Desire"
i just want to feel loved by you,"Unhappy, Neglected, Forgotten"
i only talk about how people make me feel and the only people i talk about are the ones that make me feel unhappy upset nervous or angry,"Decisive, Spontaneous, Impulse"
i to feel defeated,"Beaten Down, Defeated, Hopeless"
im feeling more lively than yesterday still not sure about food though,"Boring, Unoriginal, Cliché"
i also baked enough cookies to take to my local bbw tomorrow night i feel so bad for the employees who have to work,"Pressure, Expectation, Stress"
i feel slightly unfortunate in the sense that the calendar year wasn t a great year for the systems if i m honest,"Positive, Ambitious, Determined"
i met my ex briefly just to catch up because he was leaving for sarawak lololol it was good seeing him again and now i feel so awkward typing this,"Passionate, Comfortable, Loving"
i considered jogging since it is not too cold today but decided against it as my right ankle is already feeling tender for some reason,"Proud, Validation, Accomplishment"
im feeling so embarrassed frightened that i wouldve smashed the window and slid in dukes of hazzard style if it would get garage man to stop glaring at me,"Detox, Cleanse, Health"
im feeling my way often blindly from the carefree days of youth into the uncharted waters of maturity aka the midlife crisis here i explore transformation via one of my favorite things the tracy anderson method,"Stress, Worthwhile, Anxiety"
i feel like the leadership training was a perfect vision of what god wants missionary work to be now,"Vision, Inspiration, Determination"
i was studying i always had the feeling that the process was unpleasant but it was absolutely necessary,"Unpleasant, Necessary, Dread"
im feeling really outgoing and i get with a really quiet person and i try to make them feel comfortable,"Outgoing, Accommodating, Empathetic"
i feel guilt that i should be more caring and im not,"Guilt, Remorse, Regret"
i feel that he is gazing me and giving a naughty smile encouraging me to study more,"Encouraged, Flattered, Focused"
i was feeling fairly keen,"Keen, Enthusiastic, Excited"
i feel threatened when other people do not believe that,"Threatened, Insecure, Vulnerable"
i feel like im better amp able to do things it comes back,"Competent, Empowered, Confident"
i am feeling currently but as with anything when it s all resolved feelings will change,"Uncertainty, Anticipation, Change"
i am feeling the self hate going or when i find myself feeling hateful of someone else all i have to do to feel the power and compassion of spirit once more is by remembering i am a spiritual being,"Compassion, Empathy, Spirituality"
i feel i am appreciative i take care of the baby i try to keep the apt clean as much as possible and i try not to call him a million times to find out when hell be home it varies from day to day as he is sort of self employed so its hard to plan things around his schedule,"Appreciative, Responsible, Content"
im just feeling emo and bitchy atm,"Emo, Irritable, Moody"
i was afraid of water when i was young people feel afraid of death because they have never experienced it,"Fear, Inexperience, Apprehension"
i dare myself to do the following when i m feeling brave enough,"Challenge, Bravery, Initiative"
i feel eager to do well and i feel like ive got more titles in me he concluded ominously,"Eagerness, Confidence, Ambition"
im looking at the stress levels im feeling and not loving how concentrated they are because of my mindset of planning a wedding in four months,"Stress, Planning, Concern"
im feeling quite positive in what i want to achieve,"Positive, Optimistic, Hopeful"
i have a family i can feel passionate about and completely comfortable with,"Passionate, Comfortable, Happy"
